"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"244","Acipenser fulvescens","Acipenseriformes","present","",698270,"","Acipenser fulvescens"
"245","Acipenser ruthenus","Acipenseriformes","present","y",378930,"","Acipenser ruthenus"
"246","Acnodon normani","Characiformes","present","",179103,"","Acnodon normani"
"247","Aeoliscus strigatus","Syngnathiformes","present","y",652346,"incertae_sedis_inherited","Aeoliscus strigatus"
"248","Agamyxis pectinifrons","Siluriformes","present","",50909,"","Agamyxis pectinifrons"
"249","Akarotaxis nudiceps","Perciformes/Notothenioidei","present","y",682053,"","Akarotaxis nudiceps"
"250","Allenbatrachus grunniens","Batrachoidiformes","present","",706464,"","Allenbatrachus grunniens"
"251","Amia calva","Amiiformes","present","y",329623,"","Amia calva"
"252","Amphiprion clarkii","Ovalentaria/misc","present","y",674637,"incertae_sedis_inherited","Amphiprion clarkii"
"253","Anguilla anguilla","Anguilliformes","present","y",854201,"","Anguilla anguilla"
"254","Anguilla japonica","Anguilliformes","present","y",854198,"","Anguilla japonica"
"255","Anoplopoma fimbria","Perciformes/Cottoidei","present","y",441856,"","Anoplopoma fimbria"
"256","Arctoscopus japonicus","Perciformes/Uranoscopoidei","present","",883978,"","Arctoscopus japonicus"
"257","Asterropteryx semipunctata","Gobiiformes","present","",37552,"","Asterropteryx semipunctata"
"258","Austrolebias affinis","Cyprinodontiformes","present","",1018474,"","Austrolebias affinis"
"259","Barbus petenyi","Cypriniformes","present","",763568,"","Barbus petenyi"
"260","Bathygobius fuscus","Gobiiformes","present","",877729,"","Bathygobius fuscus"
"261","Batrochoglanis raninus","Siluriformes","present","",9881,"","Batrochoglanis raninus"
"262","Brycon orbignyanus","Characiformes","present","",206748,"","Brycon orbignyanus"
"263","Centropyge bispinosa","Acanthuriformes","present","",439843,"","Centropyge bispinosa"
"264","Chaca chaca","Siluriformes","present","",45408,"","Chaca chaca"
"265","Chaetodon vagabundus","Acanthuriformes","present","",655872,"","Chaetodon vagabundus"
"266","Channa sp.",NA,"present","",983868,"not_otu","Channa sp."
"267","Chrysiptera cyanea","Ovalentaria/misc","present","y",43505,"incertae_sedis_inherited","Chrysiptera cyanea"
"268","Cichlasoma dimerus","Cichliformes","present","",607611,"sibling_higher","Cichlasoma dimerus"
"269","Thorichthys meeki","Cichliformes","present","",207017,"","Thorichthys meeki"
"270","Conger myriaster","Anguilliformes","present","",479867,"","Conger myriaster"
"271","Coregonus lavaretus","Salmoniformes","present","y",872355,"","Coregonus lavaretus"
"272","Coryphaena hippurus","Carangiformes","present","",223663,"","Coryphaena hippurus"
"273","Cottus pollux","Perciformes/Cottoidei","present","",1000752,"","Cottus pollux"
"274","Cruciglanis pacifici","Siluriformes","present","",3624195,"","Cruciglanis pacifici"
