"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"25","Diplomystes mesembrinus","Siluriformes","Diplomystidae","Diplomystes",1,"present",NA,536094,NA,"Diplomystes_mesembrinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Erpetoichthys calabaricus","Polypteriformes","Polypteridae","Erpetoichthys",NA,"present","y",451269,NA,"Erpetoichthys_calabaricus",NA,NA,"freshwater","tropical","throughout the year, but peaking once","nonguarders","open water/substratum egg scatterers","Parallel swimming courtship; female deposits few eggs between anal fins of male, where they are fertilized and then scattered in vegetation where they immediately stick to substrate. This procedure is repeated many times. Eggs are 2.1-2.6 mm in diameter. Larvae hatch after 70 hours but remain attached to vegetation; 22 days after hatching the yolk sac is absorbed and larvae start feeding.",NA,"nocturnal","nocturnal","nocturnal",-2
"27","Rhinogobius flumineus","Gobiiformes","Gobiidae","Rhinogobius",1,"present",NA,518755,NA,"Rhinogobius_flumineus",NA,60,"freshwater","subtropical",NA,NA,NA,NA,NA,"crepuscular/diurnal","diurnal","crepuscular",3
"28","Diplodus sargus","Spariformes","Sparidae","Diplodus",3.25,"present","y",239665,NA,"Diplodus_sargus",NA,70,"saltwater","subtropical","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Sexes separate or protandrous (Ref. 4781). In some areas, this species occurs as a digynic hermaphrodite, that is, males and females developing  from intermediate juveniles (Ref. 52202).  However, protandry with possible digyny was later confirmed (Ref. 103751). Reaches sexual maturity at 2 years, with an approximate size of 17 cm. Spawning happens from January to March. Egg size 0.8-0.9 mm; larval length at hatching 2.6 mm.  Also Ref. 28504.",NA,NA,NA,NA,NA
"29","Gambusia affinis","Cyprinodontiformes","Poeciliidae","Gambusia",0,"absent","y",617445,NA,"Gambusia_affinis",NA,47,"freshwater","temperate","no obvious seasonal peak","bearers","internal live bearers","The species is viviparous (Ref. 5258). Internal fertilization is possible because the anal fin of the male is modified into a copulatory organ. The females carries about 30 alevins and gestation lasts for a period of  24 days (Ref. 6348) to a month (Ref. 30578).",NA,"diurnal","diurnal","diurnal",3
"30","Coryphaena hippurus","Carangiformes","Coryphaenidae","Coryphaena",3,"present",NA,223663,NA,"Coryphaena_hippurus",NA,34,"saltwater","tropical","variable throughout range","nonguarders","open water/substratum egg scatterers","In East African waters, spawning season may last from March to early June and spawning occurs inshore. In the western Pacific, sex ratios were about equal during spawning season. Spawning in the western Atlantic occurs over an extended period of time.
Spawn naturally in captivity without artificial inducement (Ref. 41779).",NA,"unclear","unclear/crepuscular","unclear",NA
"31","Katsuwonus pelamis","Scombriformes","Scombridae","Katsuwonus",1,"present","y",308754,NA,"Katsuwonus_pelamis",NA,34,"saltwater","tropical","variable throughout range","nonguarders","open water/substratum egg scatterers","In tropical waters, reproductively active female skipjack tuna spawn almost daily.",NA,"crepuscular/diurnal","diurnal","crepuscular",3
"32","Xiphias gladius","Istiophoriformes","Xiphiidae","Xiphias",0,"absent","y",358621,NA,"Xiphias_gladius",NA,39,"saltwater","tropical","variable throughout range","nonguarders","open water/substratum egg scatterers","In the Atlantic Ocean, spawning occurs in the upper water layer at depths between 0 and 75 m, at temperatures around 23°C, and salinity of 33.8 to 37.4 ppt.
The distribution of larval broadbill swordfish in the Pacific Ocean indicates that spawning occurs mainly in waters with a temperature of 24°C or more. Spawning appears to occur in all seasons in equatorial waters, but is restricted to spring and summer at higher latitudes (Ref. 30448).
Fertilisation in broadbill swordfish is external and pairing of solitary males and females is thought to occur when spawning (Ref. 9742). Broadbill swordfish are reported to spawn in the upper layers of the water column, from the surface to a depth of 75 m (Ref. 43).
Estimates of egg numbers vary considerably, from 1 million to 16 million in 168,000 g female (Ref. 9742) and 29 million in a 272,000 g female (Ref. 30372).",NA,"diurnal","diurnal","diurnal",4
"33","Lepomis macrochirus","Centrarchiformes","Centrarchidae","Lepomis",2,"present","y",836783,NA,"Lepomis_macrochirus",NA,59,"freshwater","temperate",NA,"guarders","nesters","Males guard the eggs for about 7 days (Ref. 93240).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-5
"34","Neolamprologus brichardi","Cichliformes","Cichlidae","Neolamprologus",0,"absent","y",279935,NA,"Neolamprologus_brichardi",NA,27,"freshwater",NA,NA,"guarders","clutch tenders",NA,NA,"crepuscular/diurnal","diurnal","crepuscular",5
"35","Nothobranchius furzeri","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent","y",513643,NA,"Nothobranchius_furzeri",NA,51,"freshwater",NA,"one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Annual fishes. This updates previous information from Ref. 2060. Before their seasonal habitat disappears adults spawn and lay eggs in the muddy bottom. Embryos survive encased in dry mud in a dormant state and hatch at the onset of the next rainy season to repeat the life cycle (Ref. 47810).",NA,"diurnal","diurnal","diurnal",5
"36","Odontesthes bonariensis","Atheriniformes","Atherinopsidae","Odontesthes",0,"absent","y",960735,NA,"Odontesthes_bonariensis",NA,56,"freshwater","tropical","two seasonal peaks per year","nonguarders","open water/substratum egg scatterers",NA,NA,"diurnal","diurnal","diurnal",2
