"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","climate"
"507",507,"Otothyropsis marapoama","Siluriformes","Loricariidae","Otothyropsis",0,"absent","",549974,"","Otothyropsis_marapoama","y","tropical"
"508",508,"Otothyris lophophanes","Siluriformes","Loricariidae","Otothyris",0,"absent","",3622971,"","Otothyris_lophophanes","y","NA"
"509",509,"Neoplecostomus yapo","Siluriformes","Loricariidae","Neoplecostomus",0,"absent","",921240,"","Neoplecostomus_yapo","y","tropical"
"510",510,"Neoplecostomus ribeirensis","Siluriformes","Loricariidae","Neoplecostomus",0,"absent","",144216,"","Neoplecostomus_ribeirensis","y","NA"
"511",511,"Otocinclus affinis","Siluriformes","Loricariidae","Otocinclus",0,"absent","",122089,"","Otocinclus_affinis","y","NA"
"512",512,"Schizolecis guntheri","Siluriformes","Loricariidae","Schizolecis",0,"absent","",950003,"","Schizolecis_guntheri","y","NA"
"513",513,"Pareiorhina rudolphi","Siluriformes","Loricariidae","Pareiorhina",0,"absent","",1076718,"","Pareiorhina_rudolphi","y","tropical"
"514",514,"Neoplecostomus selenae","Siluriformes","Loricariidae","Neoplecostomus",0,"absent","",856545,"","Neoplecostomus_selenae","y","tropical"
"515",515,"Isbrueckerichthys duseni","Siluriformes","Loricariidae","Isbrueckerichthys",0,"absent","",549964,"","Isbrueckerichthys_duseni","y","NA"
"516",516,"Gymnotocinclus anosteos","Siluriformes","Loricariidae","Gymnotocinclus",0,"absent","",406942,"","Gymnotocinclus_anosteos","y","tropical"
"517",517,"Parotocinclus jumbo","Siluriformes","Loricariidae","Parotocinclus",0,"absent","",346677,"","Parotocinclus_jumbo","y","NA"
"518",518,"Pareiorhina carrancas","Siluriformes","Loricariidae","Pareiorhina",0,"absent","",144230,"","Pareiorhina_carrancas","y","tropical"
"519",519,"Parotocinclus prata","Siluriformes","Loricariidae","Parotocinclus",0,"absent","",3622952,"","Parotocinclus_prata","y","tropical"
